iter	Logloss
0	0.6442985879
1	0.5939431198
2	0.5583564586
3	0.5357517098
4	0.5030518601
5	0.4843065568
6	0.47205013
7	0.4647056097
8	0.4555818474
9	0.4465022755
10	0.4381055177
11	0.4249094112
12	0.4208745561
13	0.4172799731
14	0.4135161631
15	0.4039073395
16	0.3995001591
17	0.3946446186
18	0.390625572
19	0.3811381634
20	0.3779245506
21	0.3761676745
22	0.3684384262
23	0.3598011948
24	0.3577885367
25	0.3547387754
26	0.3524388582
27	0.3499072375
28	0.3482235097
29	0.3402666187
30	0.3363049724
31	0.3352007595
32	0.3321455732
33	0.3309440143
34	0.3296757131
35	0.328846576
36	0.3258291174
37	0.3216237169
38	0.3208727911
39	0.3197259446
40	0.3174819333
41	0.3159217116
42	0.3141112842
43	0.3124874096
44	0.3095797813
45	0.304383671
46	0.3024365068
47	0.3009115655
48	0.2998618491
49	0.2946252778
50	0.2915448956
51	0.2899833291
52	0.2877370694
53	0.2867880724
54	0.2858275079
55	0.2848076281
56	0.2839730037
57	0.2829044102
58	0.2820960803
59	0.281405377
60	0.2790407539
61	0.2780797821
62	0.2763808216
63	0.2726888869
64	0.2719237304
65	0.271105407
66	0.2699143889
67	0.2692721683
68	0.2684390687
69	0.2674383993
70	0.2665336933
71	0.2661956256
72	0.265868186
73	0.2648493972
74	0.2645128486
75	0.2606552063
76	0.2587277072
77	0.2575129574
78	0.2552583502
79	0.2541816403
80	0.2533376171
81	0.2525373695
82	0.2511421073
83	0.2500977627
84	0.2495216195
85	0.2492380787
86	0.2478852246
87	0.2469562601
88	0.2463700893
89	0.2453067842
90	0.2448363515
91	0.2437197092
92	0.2418306916
93	0.2409417051
94	0.2406152807
95	0.2401619105
96	0.2396470582
97	0.2386052157
98	0.2382892073
99	0.2379442942
100	0.2375296385
101	0.2372907807
102	0.2363009156
103	0.2356300819
104	0.2353975524
105	0.2351896469
106	0.2346602096
107	0.233990054
108	0.2330145551
109	0.2301030685
110	0.229438818
111	0.2287389783
112	0.2280905458
113	0.2273891491
114	0.2270851837
115	0.2268294358
116	0.2255642732
117	0.2252321522
118	0.224498895
119	0.2243174687
120	0.2236968641
121	0.2228347735
122	0.2223730113
123	0.2216822948
124	0.2213355567
125	0.2203583937
126	0.2197565166
127	0.2195679114
128	0.2191452965
129	0.2186871171
130	0.2178910102
131	0.2176210078
132	0.2174047414
133	0.2170536354
134	0.2154529433
135	0.2152412684
136	0.214940147
137	0.2143512543
138	0.2135341014
139	0.2131128664
140	0.2124750544
141	0.2122736307
142	0.2119695743
143	0.2118334096
144	0.2114290951
145	0.2110651618
146	0.2109727558
147	0.2105529082
148	0.2089756837
149	0.20851937
150	0.2082336329
151	0.2080754061
152	0.2074053141
153	0.2068991928
154	0.206215443
155	0.2060237381
156	0.2058660795
157	0.2057675308
158	0.2054468495
159	0.2046483587
160	0.2041404759
161	0.2037770228
162	0.2036041003
163	0.2026531401
164	0.2024291475
165	0.2021214421
166	0.201689811
167	0.2012526548
168	0.2009191662
169	0.2003478511
170	0.2001070991
171	0.1990081907
172	0.1986124406
173	0.1984761774
174	0.1983177536
175	0.1981540556
176	0.1980056926
177	0.1978415902
178	0.1971396698
179	0.1969295168
180	0.1968088027
181	0.1966150502
182	0.1964539519
183	0.1963462042
184	0.1957979713
185	0.1955961791
186	0.1947256965
187	0.1937974632
188	0.1936286159
189	0.1934478895
190	0.1924435919
191	0.1920918533
192	0.1913957185
193	0.1909778191
194	0.1903690719
195	0.189722794
196	0.1887480717
197	0.1886252267
198	0.1884303917
199	0.1883047708
200	0.1880660673
201	0.1875903651
202	0.1874919641
203	0.1872932735
204	0.1864962328
205	0.1862162577
206	0.1854942802
207	0.1853457287
208	0.1850330322
209	0.1848356439
210	0.1844587291
211	0.1841372675
212	0.1837756356
213	0.1836767336
214	0.1831676754
215	0.1829110098
216	0.182700083
217	0.1825098186
218	0.1822017742
219	0.1815081634
220	0.181295799
221	0.1809989168
222	0.1806693794
223	0.1803343954
224	0.1801771365
225	0.1796333349
226	0.1790591105
227	0.1789267663
228	0.1787450104
229	0.1785413023
230	0.1784276931
231	0.1783561663
232	0.1781922267
233	0.1779287942
234	0.1777387666
235	0.1776578968
236	0.1775286865
237	0.1773811485
238	0.1772317503
239	0.177088314
240	0.1767519084
241	0.1765545476
242	0.1762777405
243	0.1759694053
244	0.1755051134
245	0.1750085917
246	0.1746260986
247	0.1743519386
248	0.1739387916
249	0.173808352
250	0.1735546203
251	0.1730336489
252	0.1728523628
253	0.1727779777
254	0.1725217306
255	0.1722426581
256	0.1717626031
257	0.1716230744
258	0.1715420304
259	0.1712364843
260	0.1710888875
261	0.1708605971
262	0.1706222233
263	0.1703776688
264	0.1701067184
265	0.1700305215
266	0.1696202981
267	0.169265524
268	0.169041952
269	0.1688735943
270	0.1687028633
271	0.1685242868
272	0.1683815494
273	0.1681359058
274	0.1678504254
275	0.1676587082
276	0.1673137505
277	0.166986435
278	0.1667540674
279	0.1664620626
280	0.1661923983
281	0.165944279
282	0.165773746
283	0.1655740364
284	0.1652843084
285	0.1649545134
286	0.1646488413
287	0.1643038221
288	0.1641384705
289	0.1637651745
290	0.1635892602
291	0.1634624469
292	0.16335227
293	0.1632496251
294	0.163106059
295	0.1628296383
296	0.162675233
297	0.1624433778
298	0.1622643154
299	0.1620459759
